Date,Fokontany,Location,AdultDogs,Puppies,Cats,Kittens,Roaming,WillingnessPay,Point,Commune
13-Apr-18,Antanifasika,Ambodiakondro,2,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanifasika,Ambodiakondro,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,2,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,4,0,1,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,3,0,0,0,Mireny,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanifasika,Ambodiakondro,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,1,0,0,0,Mireny,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanamandroso Est,Antanamandroso,1,0,0,0,Mireny,5000,Ambodiakondro,Moramanga
13-Apr-18,Mangarivotra,Antanamandroso,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,0,1,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,4,1,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Mireny,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,3,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,2,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,3,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,2,0,0,Mireny,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,3,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,2,0,1,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,2,0,2,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,1,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,4,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,0,1,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,2,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,3,1,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,2,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,2,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,0,1,0,An-trano,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,0,1,0,0,Fefy,5000,Ambohimadera,Moramanga
12-Apr-18,Ambohimadera,Ambohimadera,1,0,1,2,Fefy,5000,Ambohimadera,Moramanga
